pitch_type,release_speed,release_pos_x,release_pos_y,release_pos_z,zone,stand,p_throws,type,balls,strikes,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,spin_axis,winning_by
CH,83.4,3.06,54.42,5.05,3.0,1,0,1.0,0,0,1.44,0.09,0.33,3.12,0,0,0,0,3,0.0,0.0,0.0,83.4,2078.0,6.1,98.0,6
FF,93.6,3.2,54.32,5.14,2.0,1,0,1.0,0,0,1.11,0.85,0.17,3.12,0,0,0,2,2,0.0,0.0,0.0,93.8,2308.0,6.2,112.0,0
FF,93.6,3.17,54.39,5.15,2.0,1,0,1.0,0,0,0.92,1.17,0.25,3.3,0,0,0,1,2,0.0,0.0,0.0,93.5,2301.0,6.1,113.0,0
SL,73.6,3.09,54.69,5.28,5.0,1,0,1.0,0,0,-0.88,-0.59,0.05,2.15,0,0,0,0,2,0.0,0.0,0.0,73.0,2106.0,5.8,310.0,0
FF,94.6,2.94,54.24,5.29,7.0,0,0,1.0,0,0,0.97,1.03,-0.58,2.15,1,1,1,2,1,0.0,0.0,0.0,94.5,2333.0,6.3,130.0,-1
FF,94.7,3.04,54.19,5.3,6.0,1,0,1.0,0,0,1.23,0.85,0.31,2.12,0,1,1,2,1,0.0,0.0,0.0,94.6,2382.0,6.3,119.0,-1
SL,76.9,3.14,54.41,5.24,8.0,1,0,1.0,0,0,-0.95,-0.44,0.09,1.83,0,1,1,1,1,0.0,0.0,0.0,76.7,2091.0,6.1,316.0,-1
FF,96.0,3.3,54.31,5.16,6.0,1,0,1.0,0,0,1.04,0.8,0.58,2.37,0,0,1,1,1,111.0,79.7,8.0,96.1,2246.0,6.2,119.0,-1
CH,88.2,3.0,54.13,5.03,13.0,1,0,1.0,0,0,1.36,0.17,-0.33,1.24,1,0,0,1,1,0.0,0.0,0.0,88.3,2115.0,6.4,99.0,0
FF,94.0,3.11,54.33,5.2,2.0,1,0,0.0,0,0,0.89,1.06,-0.13,3.11,0,0,0,1,1,392.0,97.8,32.0,94.1,1615.0,6.2,222.0,0
FF,92.4,2.88,54.39,5.39,3.0,1,0,1.0,0,0,1.07,1.04,0.62,3.14,0,0,0,0,1,0.0,0.0,0.0,92.3,2160.0,6.1,126.0,0
FF,95.2,3.08,53.61,5.13,8.0,1,0,1.0,0,0,0.96,1.09,-0.07,1.8,0,1,1,2,6,0.0,0.0,0.0,95.4,2233.0,6.9,116.0,-1
SL,79.7,3.08,53.46,5.13,13.0,1,0,0.0,0,0,-1.01,-0.18,-3.5,0.28,0,0,1,2,6,0.0,0.0,0.0,79.7,2293.0,7.0,323.0,-1
FF,93.8,3.18,53.75,5.18,5.0,1,0,1.0,0,0,0.86,1.13,0.0,2.24,0,0,1,1,6,0.0,0.0,0.0,94.1,2104.0,6.8,120.0,-1
SL,77.5,2.99,53.63,5.24,3.0,1,0,1.0,0,0,-0.72,0.07,0.6,3.1,0,0,0,1,6,0.0,0.0,0.0,78.0,2052.0,6.9,311.0,-1
FF,91.6,2.92,53.69,5.24,4.0,1,0,0.0,0,0,0.9,1.19,-0.46,2.56,0,0,0,0,6,288.0,101.0,15.0,91.9,2174.0,6.8,121.0,-1
FF,94.7,3.18,53.75,5.13,8.0,1,0,1.0,0,0,1.02,1.36,-0.08,1.99,0,0,0,2,5,0.0,0.0,0.0,94.6,2396.0,6.7,117.0,-1
CH,87.1,3.19,53.72,4.95,9.0,1,0,1.0,0,0,1.78,0.32,0.66,1.81,0,0,0,1,5,0.0,0.0,0.0,87.0,2009.0,6.8,98.0,-1
SL,75.4,3.1,53.9,5.29,13.0,1,0,0.0,0,0,-1.04,-0.44,-0.36,1.27,0,0,0,0,5,0.0,0.0,0.0,75.1,2167.0,6.6,320.0,-1
FF,96.4,3.11,53.69,5.24,3.0,0,0,0.0,0,0,1.18,1.0,0.59,2.94,1,0,1,1,4,6.0,76.4,-25.0,96.9,2295.0,6.8,118.0,-1
CH,88.0,3.2,53.74,5.04,6.0,1,0,1.0,0,0,1.73,0.05,0.45,2.59,0,1,1,0,4,0.0,0.0,0.0,88.2,2099.0,6.8,93.0,-1
CH,86.9,3.3,53.82,5.11,9.0,1,0,1.0,0,0,1.66,0.33,0.61,1.67,0,0,1,0,4,0.0,0.0,0.0,86.9,1874.0,6.7,97.0,-1
SI,91.8,3.14,53.73,5.22,9.0,1,0,0.0,0,0,1.55,0.23,0.79,1.85,0,0,0,0,4,238.0,95.7,10.0,92.1,1980.0,6.8,119.0,-1
CH,86.6,3.08,53.79,5.03,13.0,1,0,1.0,0,0,1.51,-0.01,-0.02,1.46,0,0,0,2,3,0.0,0.0,0.0,86.8,1951.0,6.7,98.0,-1
FF,95.0,3.18,53.58,5.25,8.0,1,0,1.0,0,0,0.93,1.0,-0.27,1.53,0,0,1,2,3,0.0,0.0,0.0,95.7,2190.0,6.9,120.0,1
FF,92.3,2.94,53.62,5.27,2.0,1,0,1.0,0,0,1.15,1.14,0.05,3.32,0,0,0,2,3,0.0,0.0,0.0,92.8,2236.0,6.9,121.0,1
CH,86.2,3.12,53.75,4.94,14.0,1,0,0.0,0,0,1.67,0.16,0.17,1.26,0,0,0,1,3,0.0,0.0,0.0,86.2,2061.0,6.7,98.0,1
SL,75.4,2.95,53.98,5.26,7.0,1,0,1.0,0,0,-1.45,-0.1,-0.33,2.02,0,0,0,0,3,0.0,0.0,0.0,75.3,2018.0,6.5,317.0,1
FF,95.8,3.09,53.59,5.27,13.0,0,0,0.0,0,0,1.16,1.26,-1.07,1.79,0,1,1,1,2,0.0,0.0,0.0,95.8,2431.0,6.9,119.0,1
SL,78.6,3.09,53.76,5.26,7.0,1,0,1.0,0,0,-0.55,-0.36,-0.32,1.65,0,1,1,0,2,0.0,0.0,0.0,78.6,2102.0,6.7,319.0,1
